rank 85, epoch 1, step 1000 / 14900, train loss 54.76, time 9m 27s
rank 30, epoch 1, step 1000 / 14900, train loss 99.42, time 9m 31s
rank 95, epoch 1, step 1000 / 14900, train loss 144.31, time 9m 37s
rank 90, epoch 1, step 1000 / 14900, train loss 103.59, time 9m 42s
rank 84, epoch 1, step 1000 / 14900, train loss 64.76, time 9m 43s
rank 62, epoch 1, step 1000 / 14900, train loss 123.02, time 9m 47s
rank 66, epoch 1, step 1000 / 14900, train loss 60.49, time 9m 49s
rank 46, epoch 1, step 1000 / 14900, train loss 83.39, time 9m 50s
rank 69, epoch 1, step 1000 / 14900, train loss 109.17, time 9m 50s
rank 92, epoch 1, step 1000 / 14900, train loss 152.38, time 9m 48s
rank 56, epoch 1, step 1000 / 14900, train loss 97.89, time 9m 51s
rank 75, epoch 1, step 1000 / 14900, train loss 86.08, time 9m 52s
rank 9, epoch 1, step 1000 / 14900, train loss 245.16, time 9m 52s
rank 57, epoch 1, step 1000 / 14900, train loss 62.70, time 9m 52s
rank 15, epoch 1, step 1000 / 14900, train loss 66.76, time 9m 52s
rank 16, epoch 1, step 1000 / 14900, train loss 98.46, time 9m 53s
rank 94, epoch 1, step 1000 / 14900, train loss 111.33, time 9m 50s
rank 43, epoch 1, step 1000 / 14900, train loss 69.11, time 9m 54s
rank 60, epoch 1, step 1000 / 14900, train loss 48.71, time 9m 54s
rank 51, epoch 1, step 1000 / 14900, train loss 145.56, time 9m 56s
rank 55, epoch 1, step 1000 / 14900, train loss 70.64, time 9m 56s
rank 33, epoch 1, step 1000 / 14900, train loss 130.64, time 9m 57s
rank 2, epoch 1, step 1000 / 14900, train loss 83.97, time 9m 57s
rank 68, epoch 1, step 1000 / 14900, train loss 231.74, time 9m 57s
rank 50, epoch 1, step 1000 / 14900, train loss 92.84, time 9m 58s
rank 70, epoch 1, step 1000 / 14900, train loss 102.41, time 9m 56s
rank 31, epoch 1, step 1000 / 14900, train loss 113.94, time 9m 57s
rank 5, epoch 1, step 1000 / 14900, train loss 626.99, time 10m 0s
rank 14, epoch 1, step 1000 / 14900, train loss 73.39, time 9m 60s
rank 49, epoch 1, step 1000 / 14900, train loss 104.92, time 10m 3s
rank 6, epoch 1, step 1000 / 14900, train loss 171.89, time 10m 3s
rank 34, epoch 1, step 1000 / 14900, train loss 110.33, time 10m 3s
rank 35, epoch 1, step 1000 / 14900, train loss 125.29, time 10m 5s
rank 11, epoch 1, step 1000 / 14900, train loss 60.44, time 10m 1s
rank 47, epoch 1, step 1000 / 14900, train loss 105.29, time 10m 7s
rank 0, epoch 1, step 1000 / 14900, train loss 89.93, time 10m 6s
rank 22, epoch 1, step 1000 / 14900, train loss 51.96, time 10m 8s
rank 12, epoch 1, step 1000 / 14900, train loss 108.81, time 10m 10s
rank 4, epoch 1, step 1000 / 14900, train loss 11434.31, time 10m 9s
rank 76, epoch 1, step 1000 / 14900, train loss 62.89, time 10m 6s
rank 38, epoch 1, step 1000 / 14900, train loss 251.66, time 10m 10s
rank 48, epoch 1, step 1000 / 14900, train loss 106.31, time 10m 11s
rank 21, epoch 1, step 1000 / 14900, train loss 96.52, time 10m 11s
rank 53, epoch 1, step 1000 / 14900, train loss 270.31, time 10m 10s
rank 93, epoch 1, step 1000 / 14900, train loss 146.03, time 10m 14s
rank 59, epoch 1, step 1000 / 14900, train loss 104.26, time 10m 18s
rank 79, epoch 1, step 1000 / 14900, train loss 48.42, time 10m 20s
rank 64, epoch 1, step 1000 / 14900, train loss 71.60, time 10m 29s
rank 54, epoch 1, step 1000 / 14900, train loss 128.01, time 15m 0s
rank 78, epoch 1, step 1000 / 14900, train loss 283.49, time 14m 58s
rank 67, epoch 1, step 1000 / 14900, train loss 100.03, time 14m 58s
rank 74, epoch 1, step 1000 / 14900, train loss 194.28, time 15m 0s
rank 81, epoch 1, step 1000 / 14900, train loss 104.16, time 15m 1s
rank 41, epoch 1, step 1000 / 14900, train loss 120.08, time 15m 5s
rank 73, epoch 1, step 1000 / 14900, train loss 51.32, time 15m 6s
rank 77, epoch 1, step 1000 / 14900, train loss 355.36, time 15m 9s
rank 86, epoch 1, step 1000 / 14900, train loss 262.66, time 15m 14s
rank 8, epoch 1, step 1000 / 14900, train loss 120.30, time 15m 22s
rank 28, epoch 1, step 1000 / 14900, train loss 127.10, time 15m 23s
rank 63, epoch 1, step 1000 / 14900, train loss 77.08, time 15m 27s
rank 71, epoch 1, step 1000 / 14900, train loss 94.02, time 15m 27s
rank 19, epoch 1, step 1000 / 14900, train loss 98.61, time 15m 29s
rank 37, epoch 1, step 1000 / 14900, train loss 81.83, time 15m 30s
rank 10, epoch 1, step 1000 / 14900, train loss 77.64, time 15m 30s
rank 40, epoch 1, step 1000 / 14900, train loss 131.82, time 15m 32s
rank 91, epoch 1, step 1000 / 14900, train loss 103.77, time 15m 33s
rank 58, epoch 1, step 1000 / 14900, train loss 473.70, time 15m 34s
rank 17, epoch 1, step 1000 / 14900, train loss 261.54, time 15m 33s
rank 18, epoch 1, step 1000 / 14900, train loss 134.41, time 15m 38s
rank 24, epoch 1, step 1000 / 14900, train loss 136.51, time 15m 34s
rank 44, epoch 1, step 1000 / 14900, train loss 83.33, time 15m 36s
