rank 73, epoch 1, step 100 / 1362, train loss 105.84, time 0m 37s
rank 7, epoch 1, step 100 / 1362, train loss 69.39, time 0m 37s
rank 53, epoch 1, step 100 / 1362, train loss 61.52, time 0m 38s
rank 56, epoch 1, step 100 / 1362, train loss 109.90, time 0m 38s
rank 65, epoch 1, step 100 / 1362, train loss 105.97, time 0m 37s
rank 87, epoch 1, step 100 / 1362, train loss 63.08, time 0m 37s
rank 45, epoch 1, step 100 / 1362, train loss 87.98, time 0m 37s
rank 63, epoch 1, step 100 / 1362, train loss 100.48, time 0m 37s
rank 84, epoch 1, step 100 / 1362, train loss 75.78, time 0m 37s
rank 80, epoch 1, step 100 / 1362, train loss 62.15, time 0m 38s
rank 59, epoch 1, step 100 / 1362, train loss 71.82, time 0m 38s
rank 85, epoch 1, step 100 / 1362, train loss 96.00, time 0m 38s
rank 49, epoch 1, step 100 / 1362, train loss 78.93, time 0m 38s
rank 41, epoch 1, step 100 / 1362, train loss 102.35, time 0m 37s
rank 38, epoch 1, step 100 / 1362, train loss 73.59, time 0m 38s
rank 16, epoch 1, step 100 / 1362, train loss 80.25, time 0m 38s
rank 89, epoch 1, step 100 / 1362, train loss 62.04, time 0m 39s
rank 8, epoch 1, step 100 / 1362, train loss 89.28, time 0m 39s
rank 5, epoch 1, step 100 / 1362, train loss 79.02, time 0m 38s
rank 22, epoch 1, step 100 / 1362, train loss 71.28, time 0m 38s
rank 33, epoch 1, step 100 / 1362, train loss 86.31, time 0m 38s
rank 58, epoch 1, step 100 / 1362, train loss 62.10, time 0m 38s
rank 90, epoch 1, step 100 / 1362, train loss 89.39, time 0m 39s
rank 35, epoch 1, step 100 / 1362, train loss 77.40, time 0m 39s
rank 11, epoch 1, step 100 / 1362, train loss 84.28, time 0m 39s
rank 71, epoch 1, step 100 / 1362, train loss 96.08, time 0m 39s
rank 82, epoch 1, step 100 / 1362, train loss 87.62, time 0m 38s
rank 26, epoch 1, step 100 / 1362, train loss 69.35, time 0m 39s
rank 39, epoch 1, step 100 / 1362, train loss 78.65, time 0m 39s
rank 77, epoch 1, step 100 / 1362, train loss 79.53, time 0m 39s
rank 27, epoch 1, step 100 / 1362, train loss 94.84, time 0m 39s
rank 18, epoch 1, step 100 / 1362, train loss 104.66, time 0m 39s
rank 69, epoch 1, step 100 / 1362, train loss 91.10, time 0m 39s
rank 28, epoch 1, step 100 / 1362, train loss 85.78, time 0m 39s
rank 13, epoch 1, step 100 / 1362, train loss 67.15, time 0m 39s
rank 34, epoch 1, step 100 / 1362, train loss 88.15, time 0m 39s
rank 44, epoch 1, step 100 / 1362, train loss 83.47, time 0m 40s
rank 74, epoch 1, step 100 / 1362, train loss 77.65, time 0m 40s
rank 52, epoch 1, step 100 / 1362, train loss 63.52, time 0m 40s
rank 21, epoch 1, step 100 / 1362, train loss 98.59, time 0m 40s
rank 81, epoch 1, step 100 / 1362, train loss 75.98, time 0m 40s
rank 46, epoch 1, step 100 / 1362, train loss 64.32, time 0m 40s
rank 57, epoch 1, step 100 / 1362, train loss 66.58, time 0m 40s
rank 19, epoch 1, step 100 / 1362, train loss 84.40, time 0m 41s
rank 61, epoch 1, step 100 / 1362, train loss 81.07, time 0m 41s
rank 50, epoch 1, step 100 / 1362, train loss 72.90, time 0m 41s
rank 55, epoch 1, step 100 / 1362, train loss 81.15, time 0m 44s
rank 1, epoch 1, step 100 / 1362, train loss 88.52, time 0m 46s
rank 66, epoch 1, step 100 / 1362, train loss 82.88, time 0m 58s
rank 86, epoch 1, step 100 / 1362, train loss 70.28, time 0m 58s
rank 54, epoch 1, step 100 / 1362, train loss 74.49, time 0m 58s
rank 64, epoch 1, step 100 / 1362, train loss 45.05, time 0m 58s
rank 23, epoch 1, step 100 / 1362, train loss 80.65, time 0m 57s
rank 75, epoch 1, step 100 / 1362, train loss 73.32, time 0m 59s
rank 78, epoch 1, step 100 / 1362, train loss 68.43, time 0m 59s
rank 47, epoch 1, step 100 / 1362, train loss 120.86, time 0m 60s
rank 51, epoch 1, step 100 / 1362, train loss 88.25, time 0m 59s
rank 79, epoch 1, step 100 / 1362, train loss 93.73, time 0m 59s
rank 48, epoch 1, step 100 / 1362, train loss 93.26, time 0m 59s
rank 29, epoch 1, step 100 / 1362, train loss 65.86, time 0m 60s
rank 95, epoch 1, step 100 / 1362, train loss 79.45, time 1m 0s
rank 20, epoch 1, step 100 / 1362, train loss 59.45, time 0m 59s
rank 12, epoch 1, step 100 / 1362, train loss 61.45, time 0m 59s
rank 93, epoch 1, step 100 / 1362, train loss 61.95, time 1m 0s
rank 42, epoch 1, step 100 / 1362, train loss 85.34, time 1m 0s
rank 14, epoch 1, step 100 / 1362, train loss 90.67, time 1m 0s
rank 40, epoch 1, step 100 / 1362, train loss 77.22, time 1m 1s
rank 0, epoch 1, step 100 / 1362, train loss 101.71, time 1m 1s
rank 6, epoch 1, step 100 / 1362, train loss 44.25, time 1m 0s
rank 72, epoch 1, step 100 / 1362, train loss 74.80, time 1m 1s
rank 10, epoch 1, step 100 / 1362, train loss 57.01, time 1m 1s
rank 68, epoch 1, step 100 / 1362, train loss 66.22, time 1m 1s
rank 70, epoch 1, step 100 / 1362, train loss 78.63, time 1m 1s
rank 92, epoch 1, step 100 / 1362, train loss 82.11, time 1m 1s
rank 62, epoch 1, step 100 / 1362, train loss 84.39, time 1m 1s
rank 31, epoch 1, step 100 / 1362, train loss 86.74, time 1m 1s
rank 9, epoch 1, step 100 / 1362, train loss 93.70, time 1m 1s
rank 94, epoch 1, step 100 / 1362, train loss 88.11, time 1m 1s
rank 83, epoch 1, step 100 / 1362, train loss 74.49, time 1m 1s
